stop_id,name,lat,lon
BERNEX_HAINARD,"Bernex, Hainard",46.1760476,6.0664893
BERNEX_LUCHEPELET,"Bernex, Luchepelet",46.1784082,6.0732222
BERNEX_P_R,"Bernex, P+R",46.1793879,6.0820167
BERNEX_PRE_MARAIS,"Bernex, Pré-Marais",46.1795993,6.0779069
BERNEX_VAILLY,"Bernex, Vailly",46.1750192,6.0608344
CAROUGE_GE_ANCIENNE,"Carouge GE, Ancienne",46.1812321,6.1408069
CAROUGE_GE_ARMES,"Carouge GE, Armes",46.1868327,6.1403668
CAROUGE_GE_MARCHE,"Carouge GE, Marché",46.1841086,6.1405913
CAROUGE_GE_RONDEAU,"Carouge GE, Rondeau",46.1797424,6.1383051
CHENE_BOUGERIES_GRANGE_CANAL,"Chêne-Bougeries, Grange-Canal",46.1996021,6.1746599
CHENE_BOUGERIES_GRANGETTES,"Chêne-Bougeries, Grangettes",46.1988622,6.1803687
CHENE_BOUGERIES_GRANGE_FALQUET,"Chêne-Bougeries,Grange-Falquet",46.1982871,6.1856823
CHENE_BOURG_PEILLONNEX,"Chêne-Bourg, Peillonnex",46.1940215,6.1962465
CHENE_BOURG_PLACE_FAVRE,"Chêne-Bourg, Place Favre",46.1955076,6.1922489
CONFIGNON_LA_DODE,"Confignon, La Dode",46.1807811,6.0946605
CONFIGNON_CROISEE,"Confignon, croisée",46.1787254,6.0893963
GENEVE_AMANDOLIER,"Genève, Amandolier",46.2000312,6.1680214
GENEVE_AUGUSTINS,"Genève, Augustins",46.1919881,6.1438792
GENEVE_BEL_AIR,"Genève, Bel-Air",46.2042434,6.1438500
GENEVE_BLANCHE,"Genève, Blanche",46.1889720,6.1430482
GENEVE_COUTANCE,"Genève, Coutance",46.2074327,6.1421499
GENEVE_JONCTION,"Genève, Jonction",46.2008519,6.1297487
GENEVE_LYON,"Genève, Lyon",46.2098479,6.1381883
GENEVE_MOLARD,"Genève, Molard",46.2031119,6.1471670
GENEVE_PALLADIUM,"Genève, Palladium",46.2029938,6.1335216
GENEVE_PLACE_DE_NEUVE,"Genève, Place de Neuve",46.2008394,6.1435782
GENEVE_PLAINPALAIS,"Genève, Plainpalais",46.1978674,6.1430078
GENEVE_PONT_D_ARVE,"Genève, Pont-d'Arve",46.1947708,6.1434390
GENEVE_POTERIE,"Genève, Poterie",46.2117967,6.1336024
GENEVE_RIVE,"Genève, Rive",46.2018125,6.1525614
GENEVE_SERVETTE,"Genève, Servette",46.2134161,6.1302113
GENEVE_STAND,"Genève, Stand",46.2038517,6.1406407
GENEVE_TERRASSIERE,"Genève, Terrassière",46.2010664,6.1561906
GENEVE_VIEUSSEUX,"Genève, Vieusseux",46.2150043,6.1251897
GENEVE_VILLEREUSE,"Genève, Villereuse",46.2006218,6.1585082
GENEVE_GARE_CORNAVIN,"Genève, gare Cornavin",46.2097484,6.1416513
GENEVE_EAUX_VIVES_GARE,"Genève-Eaux-Vives, gare",46.2001120,6.1643652
GRAND_LANCY_DE_STAEL,"Grand-Lancy, De-Staël",46.1759958,6.1325170
GRAND_LANCY_PALETTES,"Grand-Lancy, Palettes",46.1769683,6.1221175
GRAND_LANCY_PONTETS,"Grand-Lancy, Pontets",46.1730463,6.1235144
LANCY_BACHET_GARE,"Lancy-Bachet, gare",46.1737305,6.1295870
MEYRIN_BOIS_DU_LAN,"Meyrin, Bois-du-Lan",46.2271550,6.0782527
MEYRIN_CERN,"Meyrin, CERN",46.2334407,6.0556242
MEYRIN_FORUMEYRIN,"Meyrin, Forumeyrin",46.2307128,6.0809701
MEYRIN_GRAVIERE,"Meyrin, Gravière",46.2365320,6.0817652
MEYRIN_HOPITAL_DE_LA_TOUR,"Meyrin, Hôpital de La Tour",46.2301846,6.0672349
MEYRIN_JARDIN_ALPIN_VIVARIUM,"Meyrin, Jardin-Alpin-Vivarium",46.2257070,6.0836157
MEYRIN_MAISONNEX,"Meyrin, Maisonnex",46.2321389,6.0602146
MEYRIN_VAUDAGNE,"Meyrin, Vaudagne",46.2331145,6.0777856
MEYRIN_VILLAGE,"Meyrin, village",46.2288454,6.0720184
ONEX_BANDOL,"Onex, Bandol",46.1859029,6.1064284
ONEX_SALLE_COMMUNALE,"Onex, Salle communale",46.1834058,6.1001941
PETIT_LANCY_LES_ESSERTS,"Petit-Lancy, Les Esserts",46.1880827,6.1130355
PETIT_LANCY_QUIDORT,"Petit-Lancy, Quidort",46.1937199,6.1238288
PETIT_LANCY_PLACE,"Petit-Lancy, place",46.1903743,6.1193147
PLAN_LES_OUATES_TREFLE_BLANC,"Plan-les-Ouates, Trèfle-Blanc",46.1715533,6.1254368
THONEX_GRAVESON,"Thônex, Graveson",46.1932411,6.2007919
THONEX_MOILLESULAZ,"Thônex, Moillesulaz",46.1924202,6.2066983
VERNIER_AVANCHETS_ETANG,"Vernier, Avanchets-Etang",46.2197282,6.1055391
VERNIER_BALEXERT,"Vernier, Balexert",46.2184136,6.1106280
VERNIER_BLANDONNET,"Vernier, Blandonnet",46.2220185,6.0972027
VERNIER_BOUCHET,"Vernier, Bouchet",46.2163966,6.1180301
