trip_id,line_id,capacity,source_gtfs_trip_id,headsign
L12_T001,L12,180,.ojp-91-12-B.1.TA.1459.j26,"Thônex, Moillesulaz"
L12_T002,L12,180,.ojp-91-12-B.1.TA.2498.j26,"Thônex, Moillesulaz"
L12_T003,L12,180,.ojp-91-12-B.1.TA.2568.j26,"Thônex, Moillesulaz"
L12_T004,L12,180,.ojp-91-12-B.1.TA.2578.j26,"Thônex, Moillesulaz"
L12_T005,L12,180,.ojp-91-12-B.1.TA.2579.j26,"Thônex, Moillesulaz"
L12_T006,L12,180,.ojp-91-12-B.1.TA.2580.j26,"Thônex, Moillesulaz"
L12_T007,L12,180,.ojp-91-12-B.1.TA.2884.j26,"Thônex, Moillesulaz"
L12_T008,L12,180,.ojp-91-12-B.1.TA.2896.j26,"Thônex, Moillesulaz"
L12_T009,L12,180,.ojp-91-12-B.1.TA.2928.j26,"Thônex, Moillesulaz"
L12_T010,L12,180,.ojp-91-12-B.1.TA.3047.j26,"Thônex, Moillesulaz"
L12_T011,L12,180,.ojp-91-12-B.1.TA.3050.j26,"Thônex, Moillesulaz"
L12_T012,L12,180,.ojp-91-12-B.1.TA.3051.j26,"Thônex, Moillesulaz"
L12_T013,L12,180,.ojp-91-12-B.1.TA.3052.j26,"Thônex, Moillesulaz"
L12_T014,L12,180,.ojp-91-12-B.1.TA.3187.j26,"Thônex, Moillesulaz"
L12_T015,L12,180,.ojp-91-12-B.1.TA.3188.j26,"Thônex, Moillesulaz"
L12_T016,L12,180,.ojp-91-12-B.1.TA.3191.j26,"Thônex, Moillesulaz"
L12_T017,L12,180,.ojp-91-12-B.1.TA.4045.j26,"Thônex, Moillesulaz"
L12_T018,L12,180,.ojp-91-12-B.1.TA.4046.j26,"Thônex, Moillesulaz"
L12_T019,L12,180,.ojp-91-12-B.1.TA.4202.j26,"Thônex, Moillesulaz"
L12_T020,L12,180,.ojp-91-12-B.1.TA.4203.j26,"Thônex, Moillesulaz"
L12_T021,L12,180,.ojp-91-12-B.1.TA.4209.j26,"Thônex, Moillesulaz"
L12_T022,L12,180,.ojp-91-12-B.1.TA.4251.j26,"Thônex, Moillesulaz"
L12_T023,L12,180,.ojp-91-12-B.1.TA.4258.j26,"Thônex, Moillesulaz"
L12_T024,L12,180,.ojp-91-12-B.1.TA.4275.j26,"Thônex, Moillesulaz"
L12_T025,L12,180,.ojp-91-12-B.1.TA.4340.j26,"Thônex, Moillesulaz"
L12_T026,L12,180,.ojp-91-12-B.1.TA.4341.j26,"Thônex, Moillesulaz"
L12_T027,L12,180,.ojp-91-12-B.1.TA.4342.j26,"Thônex, Moillesulaz"
L12_T028,L12,180,.ojp-91-12-B.1.TA.4343.j26,"Thônex, Moillesulaz"
L12_T029,L12,180,.ojp-91-12-B.1.TA.4344.j26,"Thônex, Moillesulaz"
L12_T030,L12,180,.ojp-91-12-B.1.TA.4347.j26,"Thônex, Moillesulaz"
L12_T031,L12,180,.ojp-91-12-B.1.TA.4479.j26,"Thônex, Moillesulaz"
L12_T032,L12,180,.ojp-91-12-B.1.TA.4480.j26,"Thônex, Moillesulaz"
L12_T033,L12,180,.ojp-91-12-B.1.TA.4483.j26,"Thônex, Moillesulaz"
L12_T034,L12,180,.ojp-91-12-B.1.TA.7319.j26,"Lancy-Bachet, gare"
L12_T035,L12,180,.ojp-91-12-B.1.TA.7534.j26,"Lancy-Bachet, gare"
L12_T036,L12,180,.ojp-91-12-B.1.TA.7588.j26,"Lancy-Bachet, gare"
L12_T037,L12,180,.ojp-91-12-B.1.TA.7591.j26,"Lancy-Bachet, gare"
L12_T038,L12,180,.ojp-91-12-B.1.TA.7688.j26,"Lancy-Bachet, gare"
L12_T039,L12,180,.ojp-91-12-B.1.TA.7708.j26,"Lancy-Bachet, gare"
L12_T040,L12,180,.ojp-91-12-B.1.TA.7787.j26,"Lancy-Bachet, gare"
L12_T041,L12,180,.ojp-91-12-B.1.TA.7788.j26,"Lancy-Bachet, gare"
L12_T042,L12,180,.ojp-91-12-B.1.TA.7792.j26,"Lancy-Bachet, gare"
