origin_stop_id,dest_stop_id,time_bin_id,flow
A,D,T0600,28
A,D,T0615,22
A,D,T0630,18
A,D,T0700,16
D,A,T0615,14
D,A,T0645,18
D,A,T0715,16
D,A,T0745,12
E,F,T0600,12
E,F,T0630,15
E,F,T0715,12
F,E,T0615,10
F,E,T0645,13
F,E,T0730,11
A,F,T0615,16
A,F,T0630,20
A,F,T0700,18
F,A,T0645,14
F,A,T0715,16
F,A,T0745,12
D,E,T0630,10
D,E,T0715,12
D,E,T0745,9
E,D,T0645,11
E,D,T0730,10
E,D,T0800,8
G,D,T0700,12
G,D,T0715,10
G,D,T0730,8
D,G,T0715,7
D,G,T0745,8
B,G,T0630,9
B,G,T0700,8
G,B,T0645,10
G,B,T0715,9
A,C,T0600,10
A,C,T0630,8
C,A,T0715,7
B,C,T0615,9
C,B,T0745,6
C,F,T0630,7
F,C,T0715,6
E,C,T0600,6
C,E,T0745,5
B,F,T0730,7
F,B,T0800,6


























































































