trip_id,stop_id,sequence,arrival_s,departure_s
L1_0600_ABCD,A,1,21600,21630
L1_0600_ABCD,B,2,21840,21910
L1_0600_ABCD,C,3,22120,22150
L1_0600_ABCD,D,4,22420,22420
L1_0630_ABCD,A,1,23400,23430
L1_0630_ABCD,B,2,23640,23710
L1_0630_ABCD,C,3,23920,23950
L1_0630_ABCD,D,4,24220,24220
L1_0700_ABCD,A,1,25200,25230
L1_0700_ABCD,B,2,25440,25510
L1_0700_ABCD,C,3,25720,25750
L1_0700_ABCD,D,4,26020,26020
L1_0730_ABCD,A,1,27000,27030
L1_0730_ABCD,B,2,27240,27310
L1_0730_ABCD,C,3,27520,27550
L1_0730_ABCD,D,4,27820,27820
L1_0615_DCBA,D,1,22500,22530
L1_0615_DCBA,C,2,22800,22840
L1_0615_DCBA,B,3,23040,23110
L1_0615_DCBA,A,4,23340,23340
L1_0645_DCBA,D,1,24300,24330
L1_0645_DCBA,C,2,24600,24640
L1_0645_DCBA,B,3,24840,24910
L1_0645_DCBA,A,4,25140,25140
L1_0715_DCBA,D,1,26100,26130
L1_0715_DCBA,C,2,26400,26440
L1_0715_DCBA,B,3,26640,26710
L1_0715_DCBA,A,4,26940,26940
L1_0745_DCBA,D,1,27900,27930
L1_0745_DCBA,C,2,28200,28240
L1_0745_DCBA,B,3,28440,28510
L1_0745_DCBA,A,4,28740,28740
L2_0610_ECF,E,1,22200,22230
L2_0610_ECF,C,2,22500,22540
L2_0610_ECF,F,3,22840,22840
L2_0640_ECF,E,1,24000,24030
L2_0640_ECF,C,2,24300,24340
L2_0640_ECF,F,3,24640,24640
L2_0710_ECF,E,1,25800,25830
L2_0710_ECF,C,2,26100,26140
L2_0710_ECF,F,3,26440,26440
L2_0740_ECF,E,1,27600,27630
L2_0740_ECF,C,2,27900,27940
L2_0740_ECF,F,3,28240,28240
L2_0625_FCE,F,1,23100,23130
L2_0625_FCE,C,2,23400,23440
L2_0625_FCE,E,3,23740,23740
L2_0655_FCE,F,1,24900,24930
L2_0655_FCE,C,2,25200,25240
L2_0655_FCE,E,3,25540,25540
L2_0725_FCE,F,1,26700,26730
L2_0725_FCE,C,2,27000,27040
L2_0725_FCE,E,3,27340,27340
L2_0755_FCE,F,1,28500,28530
L2_0755_FCE,C,2,28800,28840
L2_0755_FCE,E,3,29140,29140
L3_0620_GCB,G,1,22800,22830
L3_0620_GCB,C,2,23160,23210
L3_0620_GCB,B,3,23440,23440
L3_0650_GCB,G,1,24600,24630
L3_0650_GCB,C,2,24960,25010
L3_0650_GCB,B,3,25240,25240
L3_0720_GCB,G,1,26400,26430
L3_0720_GCB,C,2,26760,26810
L3_0720_GCB,B,3,27040,27040
L3_0750_GCB,G,1,28200,28230
L3_0750_GCB,C,2,28560,28610
L3_0750_GCB,B,3,28840,28840
L3_0635_BCG,B,1,23700,23730
L3_0635_BCG,C,2,24000,24050
L3_0635_BCG,G,3,24420,24420
L3_0705_BCG,B,1,25500,25530
L3_0705_BCG,C,2,25800,25850
L3_0705_BCG,G,3,26220,26220
L3_0735_BCG,B,1,27300,27330
L3_0735_BCG,C,2,27600,27650
L3_0735_BCG,G,3,28020,28020
L3_0805_BCG,B,1,29100,29130
L3_0805_BCG,C,2,29400,29450
L3_0805_BCG,G,3,29820,29820
