trip_id,line_id,capacity,headsign,direction_id
L1_0600_ABCD,L1,60,D,0
L1_0630_ABCD,L1,60,D,0
L1_0700_ABCD,L1,60,D,0
L1_0730_ABCD,L1,60,D,0
L1_0615_DCBA,L1,60,A,1
L1_0645_DCBA,L1,60,A,1
L1_0715_DCBA,L1,60,A,1
L1_0745_DCBA,L1,60,A,1
L2_0610_ECF,L2,50,F,0
L2_0640_ECF,L2,50,F,0
L2_0710_ECF,L2,50,F,0
L2_0740_ECF,L2,50,F,0
L2_0625_FCE,L2,50,E,1
L2_0655_FCE,L2,50,E,1
L2_0725_FCE,L2,50,E,1
L2_0755_FCE,L2,50,E,1
L3_0620_GCB,L3,40,B,0
L3_0650_GCB,L3,40,B,0
L3_0720_GCB,L3,40,B,0
L3_0750_GCB,L3,40,B,0
L3_0635_BCG,L3,40,G,1
L3_0705_BCG,L3,40,G,1
L3_0735_BCG,L3,40,G,1
L3_0805_BCG,L3,40,G,1
