origin_stop_id,dest_stop_id,time_bin_id,flow
A,H,t0,26
A,H,t1,25
A,H,t2,28
A,H,t3,33
A,H,t4,27
A,H,t5,25
A,F,t0,20
A,F,t1,19
A,F,t2,21
A,F,t3,25
A,F,t4,20
A,F,t5,19
B,G,t0,11
B,G,t1,13
B,G,t2,15
B,G,t3,14
B,G,t4,12
B,G,t5,11
N,H,t0,14
N,H,t1,18
N,H,t2,21
N,H,t3,18
N,H,t4,15
N,H,t5,14
U,A,t0,7
U,A,t1,8
U,A,t2,9
U,A,t3,10
U,A,t4,11
U,A,t5,10
C,H,t0,4
C,H,t1,5
C,H,t2,6
C,H,t3,5
C,H,t4,5
C,H,t5,4
A,U,t0,19
A,U,t1,17
A,U,t2,20
A,U,t3,23
A,U,t4,19
A,U,t5,17
G,B,t0,6
G,B,t1,7
G,B,t2,8
G,B,t3,9
G,B,t4,10
G,B,t5,9
N,F,t0,8
N,F,t1,10
N,F,t2,12
N,F,t3,11
N,F,t4,9
N,F,t5,8
B,U,t0,16
B,U,t1,14
B,U,t2,16
B,U,t3,20
B,U,t4,16
B,U,t5,15
C,G,t0,4
C,G,t1,5
C,G,t2,5
C,G,t3,5
C,G,t4,4
C,G,t5,4
D,N,t0,5
D,N,t1,6
D,N,t2,6
D,N,t3,7
D,N,t4,8
D,N,t5,6
