trip_id,stop_id,sequence,arrival_s,departure_s
L1_AG_0700,A,1,07:00:00,07:00:01
L1_AG_0700,C,2,07:08:00,07:08:01
L1_AG_0700,E,3,07:16:00,07:16:01
L1_AG_0700,G,4,07:24:00,07:24:01
L1_AG_0715,A,1,07:15:00,07:15:01
L1_AG_0715,C,2,07:23:00,07:23:01
L1_AG_0715,E,3,07:31:00,07:31:01
L1_AG_0715,G,4,07:39:00,07:39:01
L1_AG_0730,A,1,07:30:00,07:30:01
L1_AG_0730,C,2,07:38:00,07:38:01
L1_AG_0730,E,3,07:46:00,07:46:01
L1_AG_0730,G,4,07:54:00,07:54:01
L1_AG_0745,A,1,07:45:00,07:45:01
L1_AG_0745,C,2,07:53:00,07:53:01
L1_AG_0745,E,3,08:01:00,08:01:01
L1_AG_0745,G,4,08:09:00,08:09:01
L1_AG_0800,A,1,08:00:00,08:00:01
L1_AG_0800,C,2,08:08:00,08:08:01
L1_AG_0800,E,3,08:16:00,08:16:01
L1_AG_0800,G,4,08:24:00,08:24:01
L1_AG_0815,A,1,08:15:00,08:15:01
L1_AG_0815,C,2,08:23:00,08:23:01
L1_AG_0815,E,3,08:31:00,08:31:01
L1_AG_0815,G,4,08:39:00,08:39:01
L1_AG_0830,A,1,08:30:00,08:30:01
L1_AG_0830,C,2,08:38:00,08:38:01
L1_AG_0830,E,3,08:46:00,08:46:01
L1_AG_0830,G,4,08:54:00,08:54:01
L1_AG_0845,A,1,08:45:00,08:45:01
L1_AG_0845,C,2,08:53:00,08:53:01
L1_AG_0845,E,3,09:01:00,09:01:01
L1_AG_0845,G,4,09:09:00,09:09:01
L1_AG_0900,A,1,09:00:00,09:00:01
L1_AG_0900,C,2,09:08:00,09:08:01
L1_AG_0900,E,3,09:16:00,09:16:01
L1_AG_0900,G,4,09:24:00,09:24:01
L1_AG_0915,A,1,09:15:00,09:15:01
L1_AG_0915,C,2,09:23:00,09:23:01
L1_AG_0915,E,3,09:31:00,09:31:01
L1_AG_0915,G,4,09:39:00,09:39:01
L1_AG_0930,A,1,09:30:00,09:30:01
L1_AG_0930,C,2,09:38:00,09:38:01
L1_AG_0930,E,3,09:46:00,09:46:01
L1_AG_0930,G,4,09:54:00,09:54:01
L1_AG_0945,A,1,09:45:00,09:45:01
L1_AG_0945,C,2,09:53:00,09:53:01
L1_AG_0945,E,3,10:01:00,10:01:01
L1_AG_0945,G,4,10:09:00,10:09:01
L1_GA_0707,G,1,07:07:00,07:07:01
L1_GA_0707,E,2,07:15:00,07:15:01
L1_GA_0707,C,3,07:23:00,07:23:01
L1_GA_0707,A,4,07:31:00,07:31:01
L1_GA_0722,G,1,07:22:00,07:22:01
L1_GA_0722,E,2,07:30:00,07:30:01
L1_GA_0722,C,3,07:38:00,07:38:01
L1_GA_0722,A,4,07:46:00,07:46:01
L1_GA_0737,G,1,07:37:00,07:37:01
L1_GA_0737,E,2,07:45:00,07:45:01
L1_GA_0737,C,3,07:53:00,07:53:01
L1_GA_0737,A,4,08:01:00,08:01:01
L1_GA_0752,G,1,07:52:00,07:52:01
L1_GA_0752,E,2,08:00:00,08:00:01
L1_GA_0752,C,3,08:08:00,08:08:01
L1_GA_0752,A,4,08:16:00,08:16:01
L1_GA_0807,G,1,08:07:00,08:07:01
L1_GA_0807,E,2,08:15:00,08:15:01
L1_GA_0807,C,3,08:23:00,08:23:01
L1_GA_0807,A,4,08:31:00,08:31:01
L1_GA_0822,G,1,08:22:00,08:22:01
L1_GA_0822,E,2,08:30:00,08:30:01
L1_GA_0822,C,3,08:38:00,08:38:01
L1_GA_0822,A,4,08:46:00,08:46:01
L1_GA_0837,G,1,08:37:00,08:37:01
L1_GA_0837,E,2,08:45:00,08:45:01
L1_GA_0837,C,3,08:53:00,08:53:01
L1_GA_0837,A,4,09:01:00,09:01:01
L1_GA_0852,G,1,08:52:00,08:52:01
L1_GA_0852,E,2,09:00:00,09:00:01
L1_GA_0852,C,3,09:08:00,09:08:01
