trip_id,line_id,capacity
L1_AG_0700,L1,100
L1_AG_0715,L1,100
L1_AG_0730,L1,100
L1_AG_0745,L1,100
L1_AG_0800,L1,100
L1_AG_0815,L1,100
L1_AG_0830,L1,100
L1_AG_0845,L1,100
L1_AG_0900,L1,100
L1_AG_0915,L1,100
L1_AG_0930,L1,100
L1_AG_0945,L1,100
L1_GA_0707,L1,100
L1_GA_0722,L1,100
L1_GA_0737,L1,100
L1_GA_0752,L1,100
L1_GA_0807,L1,100
L1_GA_0822,L1,100
L1_GA_0837,L1,100
L1_GA_0852,L1,100
L1_GA_0907,L1,100
L1_GA_0922,L1,100
L1_GA_0937,L1,100
L1_GA_0952,L1,100
L2_BH_0705,L2,100
L2_BH_0715,L2,100
L2_BH_0725,L2,100
L2_BH_0735,L2,100
L2_BH_0745,L2,100
L2_BH_0755,L2,100
L2_BH_0805,L2,100
L2_BH_0815,L2,100
L2_BH_0825,L2,100
L2_BH_0835,L2,100
L2_BH_0845,L2,100
L2_BH_0855,L2,100
L2_BH_0905,L2,100
L2_BH_0915,L2,100
L2_BH_0925,L2,100
L2_BH_0935,L2,100
L2_BH_0945,L2,100
L2_BH_0955,L2,100
L2_HB_0700,L2,100
L2_HB_0710,L2,100
L2_HB_0720,L2,100
L2_HB_0730,L2,100
L2_HB_0740,L2,100
L2_HB_0750,L2,100
L2_HB_0800,L2,100
L2_HB_0810,L2,100
L2_HB_0820,L2,100
L2_HB_0830,L2,100
L2_HB_0840,L2,100
L2_HB_0850,L2,100
L2_HB_0900,L2,100
L2_HB_0910,L2,100
L2_HB_0920,L2,100
L2_HB_0930,L2,100
L2_HB_0940,L2,100
L2_HB_0950,L2,100
L3_AH_0702,L3,100
L3_AH_0722,L3,100
L3_AH_0742,L3,100
L3_AH_0802,L3,100
L3_AH_0822,L3,100
L3_AH_0842,L3,100
L3_AH_0902,L3,100
L3_AH_0922,L3,100
L3_AH_0942,L3,100
L3_HA_0712,L3,100
L3_HA_0732,L3,100
L3_HA_0752,L3,100
L3_HA_0812,L3,100
L3_HA_0832,L3,100
L3_HA_0852,L3,100
L3_HA_0912,L3,100
L3_HA_0932,L3,100
L3_HA_0952,L3,100
L4_CF_0703,L4,100
L4_CF_0715,L4,100
L4_CF_0727,L4,100
L4_CF_0739,L4,100
L4_CF_0751,L4,100
L4_CF_0803,L4,100
L4_CF_0815,L4,100
L4_CF_0827,L4,100
L4_CF_0839,L4,100
L4_CF_0851,L4,100
L4_CF_0903,L4,100
L4_CF_0915,L4,100
L4_CF_0927,L4,100
L4_CF_0939,L4,100
L4_CF_0951,L4,100
L4_FC_0709,L4,100
L4_FC_0721,L4,100
L4_FC_0733,L4,100
L4_FC_0745,L4,100
L4_FC_0757,L4,100
L4_FC_0809,L4,100
L4_FC_0821,L4,100
L4_FC_0833,L4,100
L4_FC_0845,L4,100
L4_FC_0857,L4,100
L4_FC_0909,L4,100
L4_FC_0921,L4,100
L4_FC_0933,L4,100
L4_FC_0945,L4,100
L4_FC_0957,L4,100
L5_NU_0704,L5,100
L5_NU_0719,L5,100
L5_NU_0734,L5,100
L5_NU_0749,L5,100
L5_NU_0804,L5,100
L5_NU_0819,L5,100
L5_NU_0834,L5,100
L5_NU_0849,L5,100
L5_NU_0904,L5,100
L5_NU_0919,L5,100
L5_NU_0934,L5,100
L5_NU_0949,L5,100
L5_UN_0711,L5,100
L5_UN_0726,L5,100
L5_UN_0741,L5,100
L5_UN_0756,L5,100
L5_UN_0811,L5,100
L5_UN_0826,L5,100
L5_UN_0841,L5,100
L5_UN_0856,L5,100
L5_UN_0911,L5,100
L5_UN_0926,L5,100
L5_UN_0941,L5,100
L5_UN_0956,L5,100
