origin_stop_id,dest_stop_id,time_bin_id,flow
A,H,t0,18
A,H,t1,42
A,H,t2,60
A,H,t3,45
A,H,t4,22
A,H,t5,12
A,F,t0,14
A,F,t1,32
A,F,t2,45
A,F,t3,34
A,F,t4,16
A,F,t5,9
B,G,t0,6
B,G,t1,16
B,G,t2,23
B,G,t3,20
B,G,t4,12
B,G,t5,6
N,H,t0,10
N,H,t1,23
N,H,t2,33
N,H,t3,25
N,H,t4,12
N,H,t5,7
U,A,t0,4
U,A,t1,8
U,A,t2,12
U,A,t3,14
U,A,t4,10
U,A,t5,7
C,H,t0,3
C,H,t1,6
C,H,t2,9
C,H,t3,7
C,H,t4,4
C,H,t5,3
A,U,t0,13
A,U,t1,29
A,U,t2,42
A,U,t3,31
A,U,t4,15
A,U,t5,8
G,B,t0,4
G,B,t1,7
G,B,t2,11
G,B,t3,13
G,B,t4,9
G,B,t5,6
N,F,t0,5
N,F,t1,12
N,F,t2,18
N,F,t3,15
N,F,t4,9
N,F,t5,5
B,U,t0,11
B,U,t1,25
B,U,t2,36
B,U,t3,27
B,U,t4,13
B,U,t5,7
C,G,t0,2
C,G,t1,6
C,G,t2,8
C,G,t3,6
C,G,t4,4
C,G,t5,2
D,N,t0,3
D,N,t1,6
D,N,t2,8
D,N,t3,10
D,N,t4,7
D,N,t5,5
